Month,Year,Department ,Category,Sub Category,Value
01,2025,General,General,Expected Revenue,1200000
01,2025,General,General,Actual Revenue,1150000
01,2025,General,General,Expected Expense,650000
01,2025,General,General,Actual Expense,620000
01,2025,Diagnostics,Diagnostics,Expected Lab Tests,25000
01,2025,Diagnostics,Diagnostics,Actual Lab Tests,24000
01,2025,Diagnostics,Diagnostics,Expected Radiology Tests,18000
01,2025,Diagnostics,Diagnostics,Actual Radiology Tests,17200
01,2025,Admissions & Discharges,Admissions & Discharges,Expected Admissions,4500
01,2025,Admissions & Discharges,Admissions & Discharges,Actual Admissions,4300
01,2025,Admissions & Discharges,Admissions & Discharges,Expected Discharges,4400
01,2025,Admissions & Discharges,Admissions & Discharges,Actual Discharges,4200
01,2025,Workforce,Workforce,Expected Joinees,150
01,2025,Workforce,Workforce,Actual Joinees,140
01,2025,Workforce,Workforce,Expected Resignations,40
01,2025,Workforce,Workforce,Actual Resignations,35
01,2025,Pharmacy,Pharmacy,Expected Issued,120000
01,2025,Pharmacy,Pharmacy,Actual Issued,115000
01,2025,Pharmacy,Pharmacy,Expected Expired,2000
01,2025,Pharmacy,Pharmacy,Actual Expired,1800
01,2025,Feedback,Feedback,Expected IPDScore,9
01,2025,Feedback,Feedback,Actual IPDScore,8.5
01,2025,Feedback,Feedback,Expected OPDScore,9.2
01,2025,Feedback,Feedback,Actual OPDScore,8.8
01,2025,Maintenance,Maintenance,Expected Repair Cost,100000
01,2025,Maintenance,Maintenance,Actual Repair Cost,95000
01,2025,Maintenance,Maintenance,Expected Purchase Cost,250000
01,2025,Maintenance,Maintenance,Actual Purchase Cost,240000
01,2025,General Medicine,Departmental Metrics,Expected Revenue,250000
01,2025,General Medicine,Departmental Metrics,Actual Revenue,240000
01,2025,General Medicine,Departmental Metrics,Expected Patients,6000
01,2025,General Medicine,Departmental Metrics,Actual Patients,4500
01,2025,General Medicine,Departmental Metrics,Expected Profitability,70000
01,2025,General Medicine,Departmental Metrics,Actual Profitability,65000
01,2025,Orthopaedic,Departmental Metrics,Expected Revenue,320000
01,2025,Orthopaedic,Departmental Metrics,Actual Revenue,310000
01,2025,Orthopaedic,Departmental Metrics,Expected Patients,4800
01,2025,Orthopaedic,Departmental Metrics,Actual Patients,7500
01,2025,Orthopaedic,Departmental Metrics,Expected Profitability,90000
